Tulossa,Poistuu,Malli,Numero,Kohteen osoite,Postinumero,Postitoimipaikka,Sijaintipaikan tyyppi,Sijaintipaikka,Aukioloaika,Aukioloaika (lisätiedot),Koordinaatti LAT,Koordinaatti LON
,,EP,05491,JUVANKATU 14,33710,TAMPERE,KAUPPA,K-SUPERMARKET KAUKAJÄRVI,,,61.474020,23.870950
,,EP,05620,MARTINPOJANKATU 4,33710,TAMPERE,TAVARATALO,K-CITYMARKET TURTOLA,LIIKETILAN AUKIOLO,,61.476310,23.838920
,,EP,05621,MARTINPOJANKATU 4,33710,TAMPERE,TAVARATALO,K-CITYMARKET TURTOLA,LIIKETILAN AUKIOLO,,61.475640,23.840200
,,T,40160,MARTINPOJANKATU 4,33710,TAMPERE,TAVARATALO,K-CITYMARKET TURTOLA,LIIKETILAN AUKIOLO,,61.476310,23.838920
,,O,04242,INSINÖÖRINKATU 11,33720,TAMPERE,HUOLTOASEMA,NESTE HERVANTA,24 H AUKIOLO,,61.454618,23.846822
,,P,05943,INSINÖÖRINKATU 23,33720,TAMPERE,PANKIN KONTTORI,NORDEA HERVANTA/KAUPPAKESKUS,24 H AUKIOLO,,61.450680,23.849850
,,O,04740,LINDFORSINKATU 2,33720,TAMPERE,PANKIN KONTTORI,OP HERVANTA,24 H AUKIOLO,,61.450900,23.848520
,,P,05802,PIETILÄNKATU 2,33720,TAMPERE,KAUPPAKESKUS,DUO,LIIKETILAN AUKIOLO,,61.450770,23.852380
,,T,40027,PIETILÄNKATU 2,33720,TAMPERE,KAUPPAKESKUS,DUO,LIIKETILAN AUKIOLO,,61.450860,23.852720
,,O,04548,KANGASALANTIE 120,33730,TAMPERE,KAUPPA,K-MARKET VEHMAINEN,24 H AUKIOLO,,61.474380,23.918420
,,EP,05462,VIINIKANKATU 40,33800,TAMPERE,KAUPPA,K-SUPERMARKET NEKALAN SUURJAKO,LIIKETILAN AUKIOLO,,61.479920,23.782520
,,EP,05642,LEPPÄSTENSUONKATU 4,33840,TAMPERE,TAVARATALO,IKEA,LIIKETILAN AUKIOLO,,61.452970,23.770950
,,O,04360,PELTOLAMMINKATU 40,33840,TAMPERE,KAUPPA,M-MARKET PELTSU,24 H AUKIOLO,,61.449850,23.752620
,,P,05799,NUOLIALANTIE 40,33900,TAMPERE,KAUPPA,K-MARKET HÄRMÄLÄ,24 H AUKIOLO,,61.470040,23.749340
,,P,05908,KENKÄTIE 4,33950,PIRKKALA,KAUPPAKESKUS,LIIKETILA,24 H AUKIOLO,,61.469130,23.716470
,,T,40124,PALMROTHINTIE 2,33950,PIRKKALA,KAUPPAKESKUS,K-CITYMARKET PARTOLA,LIIKETILAN AUKIOLO,,61.465840,23.722490
,,O+,40237,SAAPASTIE 2,33950,PIRKKALA,KAUPPAKESKUS,KAUPPAKESKUS VESKA,LIIKETILAN AUKIOLO,,61.467660,23.719820
